연번,호선,역명,승강장유형,길이,층수,면적,준공연도
1,1,서울,섬식,210,B2,10805,1974
2,1,시청,상대식,210,B2,11317,1974
3,1,종각,상대식,210,B2,10410.24,1974
4,1,종로3가,상대식,210,B2,9311,1974
5,1,종로5가,상대식,210,B2,10465,1974
6,1,동대문,상대식,210,B2,5490,1974
7,1,동묘앞,상대식,210,5FB2,9894.75,2005
8,1,신설동,상대식,210,B2,7240,1974
9,1,제기동,상대식,210,B2,8662,1974
10,1,청량리,섬식,210,B2,7125,1974
11,2,시청,섬식,205,B3,12561,1984
12,2,을지로입구,상대식,205,B2,10408.66,1983
13,2,을지로3가,상대식,205,B2,8181,1983
14,2,을지로4가,상대식,205,B2,6622,1983
15,2,동대문역사문화공원,상대식,205,B2,6540,1983
16,2,신당,상대식,205,B2,5762,1983
17,2,상왕십리,상대식,205,B2,7023,1983
18,2,왕십리,상대식,205,B2,9877,1983
19,2,한양대,상대식,205,2F,5974,1983
20,2,뚝섬,상대식,205,3F,8384,1983
21,2,성수,복합식,205,3F,10045,1980
22,2,건대입구,상대식,205,3F,6543,1980
23,2,구의,상대식,205,3F,5584,1980
24,2,강변,상대식,205,2F,5077,1980
25,2,잠실나루,상대식,205,2F,4691,1980
26,2,잠실,상대식,205,B2,10332,1980
27,2,잠실새내,상대식,205,B2,7573,1980
28,2,종합운동장,상대식,205,B2,18506,1980
29,2,삼성,섬식,205,B2,6447,1982
30,2,선릉,상대식,205,B2,7396,1982
31,2,역삼,상대식,205,B3,8352.89,1982
32,2,강남,상대식,205,B2,6392,1982
33,2,교대,상대식,205,B2,9312,1982
34,2,서초,상대식,205,B2,8655,1983
35,2,방배,상대식,205,B2,5951,1983
36,2,사당,상대식,205,B2,13006,1983
37,2,낙성대,상대식,205,B2,6502,1983
38,2,서울대입구,섬식,205,B2,6429,1983
39,2,봉천,섬식,205,B2,5234,1984
40,2,신림,섬식,205,B2,7190,1984
41,2,신대방,상대식,205,3F,5821,1984
42,2,구로디지털단지,상대식,205,3F,5754,1984
43,2,대림,상대식,205,3F,6478,1984
44,2,신도림,복합식,205,B2,19246,1984
45,2,문래,상대식,205,B2,6213,1984
46,2,영등포구청,상대식,205,B2,7737,1984
47,2,당산,상대식,205,3F,6385,1984
48,2,합정,상대식,205,B2,13008,1984
49,2,홍대입구,섬식,205,B2,7721,1984
50,2,신촌,상대식,205,B2,7620,1984
51,2,이대,섬식,205,B2,7436,1984
52,2,아현,상대식,205,B2,6467,1984
53,2,충정로,섬식,205,B3,7563.95,1984
54,2,용답,상대식,90,2F,1423,1980
55,2,신답,상대식,90,1F,2203,1980
56,2,용두,상대식,90,B1,6090,2005
57,2,신설동,상대식,205,B2,4952.4,1980
58,2,도림천,상대식,165,2FB3,4496.94,1992
59,2,양천구청,상대식,165,B2,5103,1992
60,2,신정네거리,상대식,165,B3,6860.92,1996
61,3,지축,섬식,205,2F,1583,1990
62,3,구파발,섬식,205,B2,5442,1985
63,3,연신내,섬식,205,B2,6906,1985
64,3,불광,상대식,205,B2,6956,1985
65,3,녹번,섬식,205,B2,6439,1985
66,3,홍제,섬식,205,B3,9825,1985
67,3,무악재,상대식,205,B3,6658.81,1985
68,3,독립문,섬식,205,B3,5294.27,1985
69,3,경복궁,섬식,205,B3,12700.17,1985
70,3,안국,섬식,205,B3,11076.64,1985
71,3,종로3가,섬식,205,B4,14829.894,1985
72,3,을지로3가,섬식,205,B3,9958,1985
73,3,충무로,섬식,205,B4,3860,1985
74,3,동대입구,섬식,205,B3,8945.76,1985
75,3,약수,섬식,205,B2,7460.48,1985
76,3,금호,섬식,205,B2,6086,1985
77,3,옥수,상대식,205,4F,11517.51,1985
78,3,압구정,상대식,205,B2,7775,1985
79,3,신사,상대식,205,B2,7159,1985
80,3,잠원,상대식,205,B2,5875,1985
81,3,고속터미널,상대식,205,B3,17268.9,1985
82,3,교대,섬식,205,B3,9927.91,1985
83,3,남부터미널,상대식,205,B3,14336.539,1985
84,3,양재,상대식,205,B2,6996,1985
85,3,매봉,상대식,205,B2,7321,1993
86,3,도곡,상대식,205,B4,12895.8,1993
87,3,대치,섬식,205,B4,8138.28,1993
88,3,학여울,상대식,205,1FB5,28768.4,1993
89,3,대청,상대식,205,B3,9540.531,1993
