호선,역명,형식,길이(M),층수,면적(㎡),준공년도
1,서울,섬식,210,B2,"10,805.00",1974
1,시청,상대식,210,B2,"11,317.00",1974
1,종각,상대식,210,B2,"10,410.20",1974
1,종로3가,상대식,210,B2,"9,311.00",1974
1,종로5가,상대식,210,B2,"10,465.00",1974
1,동대문,상대식,210,B2,"5,490.00",1974
1,동묘앞,상대식,210,5FB2,"7,031.70",2005
1,신설동,상대식,210,B2,"7,240.00",1974
1,제기동,상대식,210,B2,"8,662.00",1974
1,청량리,섬식,210,B2,"7,125.00",1974
2,시청,섬식,205,B3,"12,561.00",1984
2,을지로입구,상대식,205,B2,"10,408.70",1983
2,을지로3가,상대식,205,B2,"8,181.00",1983
2,을지로4가,상대식,205,B2,"6,622.00",1983
2,동대문역사문화공원,상대식,205,B2,"6,540.00",1983
2,신당,상대식,205,B2,"5,762.00",1983
2,상왕십리,상대식,205,B2,"7,023.00",1983
2,왕십리,상대식,205,B2,"9,877.00",1983
2,한양대,상대식,205,2F,"5,974.00",1983
2,뚝섬,상대식,205,3F,"8,384.00",1983
2,성수,복합식,205,3F,"10,045.00",1980
2,건대입구,상대식,205,3F,"6,543.00",1980
2,구의,상대식,205,3F,"5,584.00",1980
2,강변,상대식,205,2F,"5,077.00",1980
2,잠실나루,상대식,205,2F,"4,691.00",1980
2,잠실,상대식,205,B2,"10,332.00",1980
2,잠실새내,상대식,205,B2,"7,573.00",1980
2,종합운동장,상대식,205,B2,"18,506.00",1980
2,삼성,섬식,205,B2,"6,447.00",1982
2,선릉,상대식,205,B2,"7,396.00",1982
2,역삼,상대식,205,B3,"8,352.90",1982
2,강남,상대식,205,B2,"6,392.00",1982
2,교대,상대식,205,B2,"9,312.00",1982
2,서초,상대식,205,B2,"8,655.00",1983
2,방배,상대식,205,B2,"5,951.00",1983
2,사당,상대식,205,B2,"13,006.00",1983
2,낙성대,상대식,205,B2,"6,502.00",1983
2,서울대입구,섬식,205,B2,"6,429.00",1983
